VacancyID,Job Title,Language,Education Level,Industry,Experience
49442,Cashier,French,High School,Wholesale and retail,5-10
31482,Data Analyst,Dutch,Bachelor,Administration,0-1
39069,Janitor,French,High School,Cleaning,10+
31129,Finance Manager,Dutch,Master,Cleaning,5-10
44258,Data Analyst,German,Master,Wholesale and retail,0-1
29771,Janitor,German,High School,Cleaning,2-4
34552,Cashier,French,High School,Wholesale and retail,2-4
35527,Data Analyst,Spanish,Master,Manufacturing,0-1
44603,Finance Manager,German,Bachelor,Manufacturing,10+
46906,Cashier,French,High School,Wholesale and retail,10+
42866,Cashier,German,High School,Wholesale and retail,10+
43750,Finance Manager,Dutch,Bachelor,Research,5-10
40424,Cashier,Dutch,High School,Wholesale and retail,10+
48190,Data Analyst,Dutch,Bachelor,Logistics,5-10
39762,Cleaner,Spanish,High School,Cleaning,5-10
39906,Administrative Clerk,Dutch,Bachelor,Administration,0-1
31406,Truck Driver,French,High School,Transport,5-10
42823,Truck Driver,German,High School,Transport,2-4
48799,Cashier,Spanish,High School,Wholesale and retail,2-4
49290,Janitor,German,High School,Cleaning,5-10
30974,Data Analyst,Dutch,Bachelor,Administration,2-4
47650,Cleaner,Spanish,High School,Cleaning,0-1
34855,Cashier,German,High School,Wholesale and retail,10+
31366,Cleaner,French,High School,Cleaning,5-10
41465,Finance Manager,Spanish,Bachelor,Research,10+
30119,Professor,German,PhD,Research,5-10
27099,Data Analyst,Dutch,Bachelor,Education,2-4
34155,Data Analyst,French,Master,Pharmaceutical,2-4
39162,Cashier,German,High School,Wholesale and retail,10+
30446,Professor,Spanish,PhD,Research,0-1
44465,Truck Driver,English,High School,Transport,10+
30243,Janitor,Spanish,High School,Cleaning,0-1
30432,Professor,Spanish,PhD,Research,5-10
31098,Professor,Spanish,PhD,Research,0-1
30264,Data Analyst,Dutch,Master,Education,2-4
42370,Truck Driver,French,High School,Transport,0-1
32311,Janitor,French,High School,Cleaning,5-10
31449,Cashier,French,High School,Wholesale and retail,10+
42107,Finance Manager,Spanish,Master,Cleaning,5-10
48617,Professor,Spanish,PhD,Research,2-4
27711,Truck Driver,English,High School,Transport,0-1
31451,Administrative Clerk,English,Bachelor,Administration,2-4
41388,Finance Manager,English,Master,Agriculture,10+
35664,Professor,English,PhD,Research,10+
30787,Cleaner,English,High School,Cleaning,10+
48655,Data Analyst,Dutch,Bachelor,Pharmaceutical,5-10
30353,Truck Driver,English,High School,Transport,5-10
32127,Cleaner,French,High School,Cleaning,5-10
36071,Truck Driver,Spanish,High School,Transport,5-10
44707,Truck Driver,Spanish,High School,Transport,2-4
25916,Cashier,German,High School,Wholesale and retail,10+
37609,Janitor,Dutch,High School,Cleaning,0-1
29737,Professor,French,PhD,Research,5-10
40904,Professor,German,PhD,Research,0-1
47336,Truck Driver,Dutch,High School,Transport,0-1
25899,Professor,French,PhD,Research,10+
44036,Administrative Clerk,Spanish,Bachelor,Administration,0-1
48114,Cashier,Spanish,High School,Wholesale and retail,5-10
34545,Finance Manager,English,Bachelor,Research,10+
26389,Truck Driver,Spanish,High School,Transport,10+
48564,Administrative Clerk,French,Bachelor,Administration,0-1
47527,Janitor,Spanish,High School,Cleaning,5-10
28143,Finance Manager,English,Bachelor,Technology,5-10
34107,Janitor,German,High School,Cleaning,5-10
34808,Administrative Clerk,German,High school,Administration,0-1
27439,Cashier,French,High School,Wholesale and retail,10+
30629,Truck Driver,Dutch,High School,Transport,10+
35208,Professor,Spanish,PhD,Research,5-10
36089,Cleaner,Dutch,High School,Cleaning,5-10
30257,Janitor,Spanish,High School,Cleaning,0-1
31080,Finance Manager,French,Master,Manufacturing,10+
44342,Cashier,English,High School,Wholesale and retail,2-4
30074,Data Analyst,French,Master,Hotels and restaurants,5-10
33246,Professor,French,PhD,Research,10+
37114,Data Analyst,Spanish,Bachelor,Construction,2-4
37710,Cleaner,French,High School,Cleaning,5-10
39509,Professor,Spanish,PhD,Research,10+
47130,Data Analyst,English,Master,Administration,2-4
25862,Cashier,Dutch,High School,Wholesale and retail,10+
42119,Cleaner,French,High School,Cleaning,2-4
46802,Administrative Clerk,English,Bachelor,Administration,5-10
46137,Cleaner,English,High School,Cleaning,10+
43590,Finance Manager,French,Bachelor,Research,5-10
32226,Professor,Spanish,PhD,Research,0-1
43851,Data Analyst,French,Bachelor,Financial intermediation,10+
48142,Janitor,Dutch,High School,Cleaning,2-4
32429,Data Analyst,English,Master,Agriculture,5-10
47851,Truck Driver,Dutch,High School,Transport,5-10
46107,Finance Manager,German,Bachelor,Construction,10+
36419,Finance Manager,German,Bachelor,Technology,10+
26134,Janitor,Spanish,High School,Cleaning,0-1
34161,Data Analyst,Dutch,Bachelor,Wholesale and retail,10+
38599,Data Analyst,Spanish,Master,Health and social services,10+
30121,Professor,German,PhD,Research,5-10
47746,Janitor,Dutch,High School,Cleaning,0-1
45107,Data Analyst,French,Master,Research,2-4
47662,Data Analyst,French,Bachelor,Transport,10+
31199,Finance Manager,Dutch,Bachelor,Education,5-10
31443,Finance Manager,Dutch,Master,Financial intermediation,5-10
46061,Janitor,English,High School,Cleaning,2-4
40044,Finance Manager,Spanish,Master,Transport,10+
34121,Finance Manager,English,Master,Construction,10+
28701,Cashier,Dutch,High School,Wholesale and retail,10+
36548,Truck Driver,German,High School,Transport,2-4
31448,Administrative Clerk,English,Bachelor,Administration,5-10
36207,Finance Manager,English,Master,Construction,10+
43115,Administrative Clerk,English,Bachelor,Administration,5-10
48836,Finance Manager,English,Master,Manufacturing,10+
32678,Cashier,English,High School,Wholesale and retail,0-1
31791,Finance Manager,Dutch,Bachelor,Pharmaceutical,5-10
48452,Truck Driver,Spanish,High School,Transport,10+
42115,Data Analyst,French,Bachelor,Education,2-4
39641,Data Analyst,Spanish,Master,Construction,0-1
41662,Data Analyst,Spanish,Bachelor,Financial intermediation,2-4
46101,Janitor,Spanish,High School,Cleaning,5-10
44088,Finance Manager,French,Master,Construction,10+
36968,Janitor,Dutch,High School,Cleaning,0-1
45452,Janitor,French,High School,Cleaning,10+
27612,Administrative Clerk,Dutch,Bachelor,Administration,5-10
48966,Administrative Clerk,French,Bachelor,Administration,10+
44970,Data Analyst,Spanish,Master,Wholesale and retail,0-1
25709,Finance Manager,English,Bachelor,Energy,10+
36153,Administrative Clerk,German,High school,Administration,2-4
32940,Cleaner,English,High School,Cleaning,10+
49984,Cleaner,German,High School,Cleaning,5-10
26058,Cashier,Dutch,High School,Wholesale and retail,2-4
43983,Data Analyst,German,Master,Wholesale and retail,2-4
45940,Janitor,Spanish,High School,Cleaning,2-4
49399,Cleaner,Spanish,High School,Cleaning,2-4
33781,Data Analyst,French,Bachelor,Technology,5-10
36151,Finance Manager,French,Master,Agriculture,5-10
43396,Finance Manager,Dutch,Bachelor,Hotels and restaurants,10+
40802,Janitor,French,High School,Cleaning,0-1
36843,Cleaner,English,High School,Cleaning,0-1
43691,Janitor,Dutch,High School,Cleaning,0-1
36324,Cleaner,English,High School,Cleaning,5-10
26940,Finance Manager,English,Master,Research,5-10
41672,Professor,English,PhD,Research,2-4
47916,Cashier,Spanish,High School,Wholesale and retail,10+
31068,Finance Manager,English,Bachelor,Financial intermediation,5-10
36317,Professor,Dutch,PhD,Research,5-10
40631,Cashier,Spanish,High School,Wholesale and retail,0-1
29231,Professor,French,PhD,Research,5-10
32373,Finance Manager,German,Master,Research,10+
30961,Administrative Clerk,Spanish,Bachelor,Administration,10+
49283,Janitor,English,High School,Cleaning,5-10
47877,Finance Manager,French,Bachelor,Education,10+
