VacancyID,Job Title,Language,Education Level,Industry,Experience,VacancyDescription
49442,Cashier,French,High School,Wholesale and retail,5-10,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of French and 5-10 years of experience, preferably with a High School degree."
31482,Data Analyst,Dutch,Bachelor,Administration,0-1,"We are looking for an additional Data Analyst to strengthen our team in the Administration industry with knowledge of Dutch and 0-1 years of experience, preferably with a Bachelor degree."
39069,Janitor,French,High School,Cleaning,10+,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of French and 10+ years of experience, preferably with a High School degree."
31129,Finance Manager,Dutch,Master,Cleaning,5-10,"We are looking for an additional Finance Manager to strengthen our team in the Cleaning industry with knowledge of Dutch and 5-10 years of experience, preferably with a Master degree."
44258,Data Analyst,German,Master,Wholesale and retail,0-1,"We are looking for an additional Data Analyst to strengthen our team in the Wholesale and retail industry with knowledge of German and 0-1 years of experience, preferably with a Master degree."
29771,Janitor,German,High School,Cleaning,2-4,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of German and 2-4 years of experience, preferably with a High School degree."
34552,Cashier,French,High School,Wholesale and retail,2-4,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of French and 2-4 years of experience, preferably with a High School degree."
35527,Data Analyst,Spanish,Master,Manufacturing,0-1,"We are looking for an additional Data Analyst to strengthen our team in the Manufacturing industry with knowledge of Spanish and 0-1 years of experience, preferably with a Master degree."
44603,Finance Manager,German,Bachelor,Manufacturing,10+,"We are looking for an additional Finance Manager to strengthen our team in the Manufacturing industry with knowledge of German and 10+ years of experience, preferably with a Bachelor degree."
46906,Cashier,French,High School,Wholesale and retail,10+,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of French and 10+ years of experience, preferably with a High School degree."
42866,Cashier,German,High School,Wholesale and retail,10+,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of German and 10+ years of experience, preferably with a High School degree."
43750,Finance Manager,Dutch,Bachelor,Research,5-10,"We are looking for an additional Finance Manager to strengthen our team in the Research industry with knowledge of Dutch and 5-10 years of experience, preferably with a Bachelor degree."
40424,Cashier,Dutch,High School,Wholesale and retail,10+,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of Dutch and 10+ years of experience, preferably with a High School degree."
48190,Data Analyst,Dutch,Bachelor,Logistics,5-10,"We are looking for an additional Data Analyst to strengthen our team in the Logistics industry with knowledge of Dutch and 5-10 years of experience, preferably with a Bachelor degree."
39762,Cleaner,Spanish,High School,Cleaning,5-10,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of Spanish and 5-10 years of experience, preferably with a High School degree."
39906,Administrative Clerk,Dutch,Bachelor,Administration,0-1,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of Dutch and 0-1 years of experience, preferably with a Bachelor degree."
31406,Truck Driver,French,High School,Transport,5-10,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of French and 5-10 years of experience, preferably with a High School degree."
42823,Truck Driver,German,High School,Transport,2-4,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of German and 2-4 years of experience, preferably with a High School degree."
48799,Cashier,Spanish,High School,Wholesale and retail,2-4,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of Spanish and 2-4 years of experience, preferably with a High School degree."
49290,Janitor,German,High School,Cleaning,5-10,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of German and 5-10 years of experience, preferably with a High School degree."
30974,Data Analyst,Dutch,Bachelor,Administration,2-4,"We are looking for an additional Data Analyst to strengthen our team in the Administration industry with knowledge of Dutch and 2-4 years of experience, preferably with a Bachelor degree."
47650,Cleaner,Spanish,High School,Cleaning,0-1,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of Spanish and 0-1 years of experience, preferably with a High School degree."
34855,Cashier,German,High School,Wholesale and retail,10+,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of German and 10+ years of experience, preferably with a High School degree."
31366,Cleaner,French,High School,Cleaning,5-10,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of French and 5-10 years of experience, preferably with a High School degree."
41465,Finance Manager,Spanish,Bachelor,Research,10+,"We are looking for an additional Finance Manager to strengthen our team in the Research industry with knowledge of Spanish and 10+ years of experience, preferably with a Bachelor degree."
30119,Professor,German,PhD,Research,5-10,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of German and 5-10 years of experience, preferably with a PhD degree."
27099,Data Analyst,Dutch,Bachelor,Education,2-4,"We are looking for an additional Data Analyst to strengthen our team in the Education industry with knowledge of Dutch and 2-4 years of experience, preferably with a Bachelor degree."
34155,Data Analyst,French,Master,Pharmaceutical,2-4,"We are looking for an additional Data Analyst to strengthen our team in the Pharmaceutical industry with knowledge of French and 2-4 years of experience, preferably with a Master degree."
39162,Cashier,German,High School,Wholesale and retail,10+,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of German and 10+ years of experience, preferably with a High School degree."
30446,Professor,Spanish,PhD,Research,0-1,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of Spanish and 0-1 years of experience, preferably with a PhD degree."
44465,Truck Driver,English,High School,Transport,10+,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of English and 10+ years of experience, preferably with a High School degree."
30243,Janitor,Spanish,High School,Cleaning,0-1,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of Spanish and 0-1 years of experience, preferably with a High School degree."
30432,Professor,Spanish,PhD,Research,5-10,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of Spanish and 5-10 years of experience, preferably with a PhD degree."
31098,Professor,Spanish,PhD,Research,0-1,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of Spanish and 0-1 years of experience, preferably with a PhD degree."
30264,Data Analyst,Dutch,Master,Education,2-4,"We are looking for an additional Data Analyst to strengthen our team in the Education industry with knowledge of Dutch and 2-4 years of experience, preferably with a Master degree."
42370,Truck Driver,French,High School,Transport,0-1,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of French and 0-1 years of experience, preferably with a High School degree."
32311,Janitor,French,High School,Cleaning,5-10,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of French and 5-10 years of experience, preferably with a High School degree."
31449,Cashier,French,High School,Wholesale and retail,10+,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of French and 10+ years of experience, preferably with a High School degree."
42107,Finance Manager,Spanish,Master,Cleaning,5-10,"We are looking for an additional Finance Manager to strengthen our team in the Cleaning industry with knowledge of Spanish and 5-10 years of experience, preferably with a Master degree."
48617,Professor,Spanish,PhD,Research,2-4,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of Spanish and 2-4 years of experience, preferably with a PhD degree."
27711,Truck Driver,English,High School,Transport,0-1,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of English and 0-1 years of experience, preferably with a High School degree."
31451,Administrative Clerk,English,Bachelor,Administration,2-4,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of English and 2-4 years of experience, preferably with a Bachelor degree."
41388,Finance Manager,English,Master,Agriculture,10+,"We are looking for an additional Finance Manager to strengthen our team in the Agriculture industry with knowledge of English and 10+ years of experience, preferably with a Master degree."
35664,Professor,English,PhD,Research,10+,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of English and 10+ years of experience, preferably with a PhD degree."
30787,Cleaner,English,High School,Cleaning,10+,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of English and 10+ years of experience, preferably with a High School degree."
48655,Data Analyst,Dutch,Bachelor,Pharmaceutical,5-10,"We are looking for an additional Data Analyst to strengthen our team in the Pharmaceutical industry with knowledge of Dutch and 5-10 years of experience, preferably with a Bachelor degree."
30353,Truck Driver,English,High School,Transport,5-10,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of English and 5-10 years of experience, preferably with a High School degree."
32127,Cleaner,French,High School,Cleaning,5-10,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of French and 5-10 years of experience, preferably with a High School degree."
36071,Truck Driver,Spanish,High School,Transport,5-10,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of Spanish and 5-10 years of experience, preferably with a High School degree."
44707,Truck Driver,Spanish,High School,Transport,2-4,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of Spanish and 2-4 years of experience, preferably with a High School degree."
25916,Cashier,German,High School,Wholesale and retail,10+,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of German and 10+ years of experience, preferably with a High School degree."
37609,Janitor,Dutch,High School,Cleaning,0-1,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of Dutch and 0-1 years of experience, preferably with a High School degree."
29737,Professor,French,PhD,Research,5-10,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of French and 5-10 years of experience, preferably with a PhD degree."
40904,Professor,German,PhD,Research,0-1,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of German and 0-1 years of experience, preferably with a PhD degree."
47336,Truck Driver,Dutch,High School,Transport,0-1,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of Dutch and 0-1 years of experience, preferably with a High School degree."
25899,Professor,French,PhD,Research,10+,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of French and 10+ years of experience, preferably with a PhD degree."
44036,Administrative Clerk,Spanish,Bachelor,Administration,0-1,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of Spanish and 0-1 years of experience, preferably with a Bachelor degree."
48114,Cashier,Spanish,High School,Wholesale and retail,5-10,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of Spanish and 5-10 years of experience, preferably with a High School degree."
34545,Finance Manager,English,Bachelor,Research,10+,"We are looking for an additional Finance Manager to strengthen our team in the Research industry with knowledge of English and 10+ years of experience, preferably with a Bachelor degree."
26389,Truck Driver,Spanish,High School,Transport,10+,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of Spanish and 10+ years of experience, preferably with a High School degree."
48564,Administrative Clerk,French,Bachelor,Administration,0-1,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of French and 0-1 years of experience, preferably with a Bachelor degree."
47527,Janitor,Spanish,High School,Cleaning,5-10,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of Spanish and 5-10 years of experience, preferably with a High School degree."
28143,Finance Manager,English,Bachelor,Technology,5-10,"We are looking for an additional Finance Manager to strengthen our team in the Technology industry with knowledge of English and 5-10 years of experience, preferably with a Bachelor degree."
34107,Janitor,German,High School,Cleaning,5-10,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of German and 5-10 years of experience, preferably with a High School degree."
34808,Administrative Clerk,German,High school,Administration,0-1,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of German and 0-1 years of experience, preferably with a High school degree."
27439,Cashier,French,High School,Wholesale and retail,10+,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of French and 10+ years of experience, preferably with a High School degree."
30629,Truck Driver,Dutch,High School,Transport,10+,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of Dutch and 10+ years of experience, preferably with a High School degree."
35208,Professor,Spanish,PhD,Research,5-10,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of Spanish and 5-10 years of experience, preferably with a PhD degree."
36089,Cleaner,Dutch,High School,Cleaning,5-10,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of Dutch and 5-10 years of experience, preferably with a High School degree."
30257,Janitor,Spanish,High School,Cleaning,0-1,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of Spanish and 0-1 years of experience, preferably with a High School degree."
31080,Finance Manager,French,Master,Manufacturing,10+,"We are looking for an additional Finance Manager to strengthen our team in the Manufacturing industry with knowledge of French and 10+ years of experience, preferably with a Master degree."
44342,Cashier,English,High School,Wholesale and retail,2-4,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of English and 2-4 years of experience, preferably with a High School degree."
30074,Data Analyst,French,Master,Hotels and restaurants,5-10,"We are looking for an additional Data Analyst to strengthen our team in the Hotels and restaurants industry with knowledge of French and 5-10 years of experience, preferably with a Master degree."
33246,Professor,French,PhD,Research,10+,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of French and 10+ years of experience, preferably with a PhD degree."
37114,Data Analyst,Spanish,Bachelor,Construction,2-4,"We are looking for an additional Data Analyst to strengthen our team in the Construction industry with knowledge of Spanish and 2-4 years of experience, preferably with a Bachelor degree."
37710,Cleaner,French,High School,Cleaning,5-10,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of French and 5-10 years of experience, preferably with a High School degree."
39509,Professor,Spanish,PhD,Research,10+,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of Spanish and 10+ years of experience, preferably with a PhD degree."
47130,Data Analyst,English,Master,Administration,2-4,"We are looking for an additional Data Analyst to strengthen our team in the Administration industry with knowledge of English and 2-4 years of experience, preferably with a Master degree."
25862,Cashier,Dutch,High School,Wholesale and retail,10+,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of Dutch and 10+ years of experience, preferably with a High School degree."
42119,Cleaner,French,High School,Cleaning,2-4,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of French and 2-4 years of experience, preferably with a High School degree."
46802,Administrative Clerk,English,Bachelor,Administration,5-10,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of English and 5-10 years of experience, preferably with a Bachelor degree."
46137,Cleaner,English,High School,Cleaning,10+,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of English and 10+ years of experience, preferably with a High School degree."
43590,Finance Manager,French,Bachelor,Research,5-10,"We are looking for an additional Finance Manager to strengthen our team in the Research industry with knowledge of French and 5-10 years of experience, preferably with a Bachelor degree."
32226,Professor,Spanish,PhD,Research,0-1,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of Spanish and 0-1 years of experience, preferably with a PhD degree."
43851,Data Analyst,French,Bachelor,Financial intermediation,10+,"We are looking for an additional Data Analyst to strengthen our team in the Financial intermediation industry with knowledge of French and 10+ years of experience, preferably with a Bachelor degree."
48142,Janitor,Dutch,High School,Cleaning,2-4,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of Dutch and 2-4 years of experience, preferably with a High School degree."
32429,Data Analyst,English,Master,Agriculture,5-10,"We are looking for an additional Data Analyst to strengthen our team in the Agriculture industry with knowledge of English and 5-10 years of experience, preferably with a Master degree."
47851,Truck Driver,Dutch,High School,Transport,5-10,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of Dutch and 5-10 years of experience, preferably with a High School degree."
46107,Finance Manager,German,Bachelor,Construction,10+,"We are looking for an additional Finance Manager to strengthen our team in the Construction industry with knowledge of German and 10+ years of experience, preferably with a Bachelor degree."
36419,Finance Manager,German,Bachelor,Technology,10+,"We are looking for an additional Finance Manager to strengthen our team in the Technology industry with knowledge of German and 10+ years of experience, preferably with a Bachelor degree."
26134,Janitor,Spanish,High School,Cleaning,0-1,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of Spanish and 0-1 years of experience, preferably with a High School degree."
34161,Data Analyst,Dutch,Bachelor,Wholesale and retail,10+,"We are looking for an additional Data Analyst to strengthen our team in the Wholesale and retail industry with knowledge of Dutch and 10+ years of experience, preferably with a Bachelor degree."
38599,Data Analyst,Spanish,Master,Health and social services,10+,"We are looking for an additional Data Analyst to strengthen our team in the Health and social services industry with knowledge of Spanish and 10+ years of experience, preferably with a Master degree."
30121,Professor,German,PhD,Research,5-10,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of German and 5-10 years of experience, preferably with a PhD degree."
47746,Janitor,Dutch,High School,Cleaning,0-1,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of Dutch and 0-1 years of experience, preferably with a High School degree."
45107,Data Analyst,French,Master,Research,2-4,"We are looking for an additional Data Analyst to strengthen our team in the Research industry with knowledge of French and 2-4 years of experience, preferably with a Master degree."
